#     BLOCK:       POFV:   AVE_POFV:      ERROR:
           1           0           0           0
           1  0.00150926  0.00150926           0
           1      0.0085      0.0085           0
           1   0.0152083   0.0152083           0
           1   0.0171713   0.0171713           0
           1   0.0272963   0.0272963           0
           1    0.031125    0.031125           0
           1   0.0461667   0.0461667           0
           1   0.0555787   0.0555787           0
           1   0.0509167   0.0509167           0
           1   0.0571528   0.0571528           0
           1   0.0645231   0.0645231           0
           1   0.0630509   0.0630509           0
           1   0.0589954   0.0589954           0
           1   0.0837917   0.0837917           0
           1    0.108866    0.108866           0
           1   0.0673657   0.0673657           0
           1   0.0584769   0.0584769           0
           1   0.0478194   0.0478194           0
           1    0.037287    0.037287           0
           1   0.0251111   0.0251111           0
           1   0.0244583   0.0244583           0
           1   0.0155185   0.0155185           0
           1   0.0116111   0.0116111           0
           1  0.00819907  0.00819907           0
           1  0.00422222  0.00422222           0
           1  0.00398611  0.00398611           0
           1  0.00289352  0.00289352           0
           1  0.00172222  0.00172222           0
           1  0.00147685  0.00147685           0


           2  0.00216204  0.00108102 0.000764396
           2  0.00461574   0.0030625  0.00109831
           2    0.014213   0.0113565  0.00201984
           2   0.0262593   0.0207338  0.00390709
           2   0.0250185   0.0210949  0.00277441
           2   0.0324954   0.0298958  0.00183815
           2   0.0529907   0.0420579  0.00773071
           2   0.0558704   0.0510185  0.00343078
           2   0.0700602   0.0628194  0.00511998
           2   0.0820278   0.0664722   0.0109994
           2   0.0919954   0.0745741   0.0123187
           2   0.0800231   0.0722731  0.00548008
           2   0.0784815   0.0707662  0.00545553
           2   0.0515231   0.0552593  0.00264183
           2   0.0568935   0.0703426  0.00950993
           2   0.0540602    0.081463   0.0193767
           2   0.0398981   0.0536319  0.00971126
           2   0.0476065   0.0530417  0.00384326
           2   0.0365833   0.0422014  0.00397257
           2   0.0198704   0.0285787  0.00615772
           2   0.0358333   0.0304722  0.00379088
           2   0.0116019   0.0180301  0.00454545
           2  0.00918056   0.0123495  0.00224081
           2  0.00594907  0.00878009  0.00200183
           2  0.00937037  0.00878472 0.000414116
           2  0.00374074  0.00398148 0.000170229
           2  0.00167593  0.00283102 0.000816774
           2           0  0.00144676  0.00102301
           2           0 0.000861111 0.000608898
           2           0 0.000738426 0.000522146


           3 0.000231481  0.00079784 0.000559597
           3  0.00570833  0.00394444  0.00102697
           3    0.011037     0.01125  0.00134936
           3   0.0203889   0.0206188  0.00260642
           3   0.0428148   0.0283349  0.00619401
           3   0.0666389   0.0421435    0.010075
           3   0.0519352   0.0453503  0.00581278
           3   0.0620509    0.054696  0.00377453
           3    0.094787   0.0734753  0.00934607
           3   0.0903102   0.0744182  0.00979106
           3   0.0935463   0.0808981   0.0097009
           3   0.0621574   0.0689012  0.00457461
           3   0.0519352   0.0644892  0.00628451
           3    0.060412   0.0569769  0.00225136
           3   0.0521481   0.0642778  0.00804465
           3   0.0500926   0.0710062   0.0154844
           3   0.0444398   0.0505679  0.00694074
           3    0.031037   0.0457068  0.00651396
           3   0.0245833   0.0363287  0.00547779
           3    0.012662   0.0232731   0.0059681
           3   0.0253704   0.0287716  0.00288359
           3   0.0147407   0.0169336  0.00315978
           3   0.0107593   0.0118194  0.00155531
           3  0.00803241  0.00853086  0.00134998
           3   0.0075463  0.00837191  0.00043569
           3     0.00375  0.00390432 0.000129801
           3 0.000722222  0.00212809 0.000791143
           3 0.000162037  0.00101852 0.000766418
           3           0 0.000574074  0.00046873
           3           0 0.000492284 0.000401948


           4           0  0.00059838 0.000453855
           4  0.00294907   0.0036956  0.00079981
           4  0.00734259   0.0102731  0.00131904
           4   0.0219306   0.0209468  0.00197534
           4    0.036375   0.0303449  0.00496094
           4   0.0514722   0.0444757  0.00782152
           4   0.0513519   0.0468507  0.00454911
           4   0.0886852   0.0631933  0.00788461
           4    0.093537   0.0784907   0.0082462
           4   0.0912407   0.0786238  0.00819692
           4   0.0780648   0.0801898  0.00730149
           4   0.0626713   0.0673437  0.00368657
           4   0.0650093   0.0646192  0.00471473
           4   0.0633519   0.0585706  0.00218086
           4    0.066125   0.0647396  0.00604673
           4   0.0370602   0.0625197   0.0137435
           4    0.050662   0.0505914  0.00520559
           4   0.0351481   0.0430671  0.00539385
           4   0.0301157   0.0347755  0.00432295
           4   0.0149815   0.0212002  0.00482265
           4   0.0213981   0.0269282  0.00268807
           4   0.0138611   0.0161655  0.00246143
           4   0.0129722   0.0121076  0.00119288
           4  0.00369444  0.00732176  0.00145656
           4           0  0.00627894  0.00184179
           4           0  0.00292824 0.000850898
           4           0  0.00159606 0.000751237
           4           0 0.000763889  0.00061566
           4           0 0.000430556 0.000372872
           4           0 0.000369213 0.000319748


           5 0.000694444 0.000617593 0.000363491
           5     0.00325  0.00360648 0.000644794
           5  0.00904167   0.0100269  0.00107798
           5   0.0166528    0.020088  0.00175706
           5   0.0340417   0.0310843  0.00402347
           5   0.0257176   0.0407241  0.00710017
           5   0.0526528   0.0480111   0.0037844
           5   0.0850972   0.0675741  0.00742563
           5   0.0922824   0.0812491  0.00704319
           5       0.103   0.0834991    0.007875
           5    0.102315   0.0846148  0.00705578
           5   0.0832454   0.0705241  0.00409752
           5   0.0651157   0.0647185  0.00377283
           5   0.0535046   0.0575574  0.00196601
           5   0.0472269    0.061237   0.0057632
           5   0.0571528   0.0614463   0.0110366
           5   0.0393472   0.0483426  0.00462479
           5   0.0354676   0.0415472  0.00452416
           5   0.0319769   0.0342157  0.00349441
           5   0.0212407   0.0212083  0.00385813
           5   0.0152037   0.0245833  0.00300389
           5   0.0126389   0.0154602  0.00206773
           5  0.00916667   0.0115194  0.00108972
           5  0.00235185  0.00632778  0.00146568
           5  0.00161574   0.0053463  0.00169318
           5           0  0.00234259 0.000858932
